,CD4+ T,CD8+ T,Naive B,GC B,Plasma,Macrophage,DC
CD4+ T,0.370541758603924,0.585620046385584,0.265547074794494,0.458370763898954,0.0576181118047952,0.46237046120297,0.54161879881525
CD8+ T,0.386490610405871,0.623560739585926,0.251392858161594,0.437621461752611,0.0525501657760867,0.49689969425357,0.422893119246774
Naive B,0.387797204767128,0.631311393255646,0.265382344082613,0.453158664222828,0.0555626935669725,0.452191685421271,0.545242777313182
GC B,0.330916546105044,0.486071814198068,0.25643745009182,0.494990521381244,0.0687214303774407,0.475783948394212,0.418368383334303
Plasma,0.268208865724677,0.418111722172397,0.185617158926713,0.314944765854245,0.0446970836633363,0.323913435341178,0.319968046410985
Macrophage,0.512116729268838,0.780490784019966,0.409186470253011,0.610970391794019,0.159612353934234,0.687220223253648,0.591205806384656
DC,0.362120387364976,0.600338435148228,0.248778497781547,0.438939220830517,0.0497584282028171,0.447298002124016,0.505850739683574
