cell,alpha,half_life,,
0610009O20Rik,0.00549179020486878,3.34559932380684,,
0610010F05Rik,0.0108665374852994,2.35369053448747,,
0610012G03Rik,0.0125484494936753,2.67406335311586,,
0610030E20Rik,0.0283371646746261,2.20224284549314,,
0610037L13Rik,0.00837047506686506,3.18440191530679,,
1110004F10Rik,0.0480109158473149,1.97890436049875,,
1110008F13Rik,0.0666932470478373,2.03698748887874,,
1110008P14Rik,0.00780573114455129,5.91463610740459,,
1110038B12Rik,0.00562358689616371,4.87859849712069,,
1110038F14Rik,0.0177392439569791,2.30522811842752,,
1110059E24Rik,0.0232334861142565,1.77495957374139,,
1110059G10Rik,0.0201981211600567,1.38403073892241,,
1190002N15Rik,0.0118630110489382,1.72041890106118,,
1500011K16Rik,0.00697767159455725,2.13396849927047,,
1600010M07Rik,0.00511089333095246,7.5784857428823,,
1600012H06Rik,0.0094584046640713,2.71688607172078,,
1600014C10Rik,0.0345539478980935,2.87075646566851,,
1700017B05Rik,0.00941243815826627,3.32109056353346,,
1700020I14Rik,0.143720212743843,1.38813449344468,,
1700020L24Rik,0.0173907491365831,2.81625356407329,,
1700021F05Rik,0.0125497956392762,2.48354121269625,,
1700025G04Rik,0.0128565683251321,2.41939754814862,,
1700037H04Rik,0.0109488926970343,3.65738960589384,,
1700047M11Rik,0.00835202410384379,5.82236529726118,,
1700123O20Rik,0.0239323919302156,2.54165793864493,,
1810013L24Rik,0.0154820654943055,2.83134616236083,,
1810022K09Rik,0.0138180994563615,3.99343774386233,,
1810026B05Rik,0.0155378448555841,3.86774839656781,,
1810030O07Rik,0.019176139844843,1.84299671473247,,
1810037I17Rik,0.122025249684502,1.7029360494734,,
1810058I24Rik,0.0265323558714893,3.28712550259099,,
2010107E04Rik,0.0240890850732808,4.85791411488269,,
2210016F16Rik,0.0154854435789395,1.93754615901309,,
2210016L21Rik,0.00939035015936556,3.57074729002975,,
2210406H18Rik,0.00574181929435377,3.10223244597449,,
2300009A05Rik,0.00636849192470466,2.53781962366869,,
2310001H17Rik,0.0129063885952691,6.36792461700332,,
2310009A05Rik,0.0156473721796984,1.97600050802428,,
2310011J03Rik,0.0192874726652335,2.5808702142173,,
2310033P09Rik,0.0117803259625445,2.4235629233053,,
2310035C23Rik,0.0182820946297396,2.01596947145663,,
2310061I04Rik,0.00676662839349442,2.13827192975953,,
2410002F23Rik,0.00970874827821113,3.16869721784326,,
2410004B18Rik,0.00647119027400436,2.67995443447421,,
2410006H16Rik,0.0231633265358154,4.22521094532914,,
2410015M20Rik,0.00957622226165024,4.16965538911473,,
